UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Leila Edith Lucius,@All_in_despair,2021-09-10T23:38:24.000Z,"Leila Edith Lucius
@All_in_despair
·
9월 11일","고양이와 돌보는 인간의 관계는 분명 당신이 아니라고 했고, 이제 당신이 강아지처럼 구는 것도 아니니…, 역시 친구 관계가 제일 적절하겠지. 그럼 앞으로도 ‘친구’로 잘 부탁해, 디케.",,,,,[],https://twitter.com/All_in_despair/status/1436474165293367297
𝓐𝓶𝓮𝓵𝓲𝓪,@I_LOV3__,2021-09-10T23:37:29.000Z,"𝓐𝓶𝓮𝓵𝓲𝓪
@I_LOV3__
·
9월 11일","이상하다~.. 여기에 분명 고양이는 움직이는 물체를 좋아한다고 써 있었는데~ 르네, 왜 안좋아해? 우, 우와앗~.. 라라~ 르네가 또 지팡이 들었어~!",,,,,[],https://twitter.com/I_LOV3__/status/1436473935126695939
마츠리,@Matsuri1021,2021-09-10T23:37:00.000Z,"마츠리
@Matsuri1021
·
9월 11일","고양이한테 침대는 가로로 눕는게 아니라 길이따라 세로로 눕는거라고 통역좀 해주실분....
1
4",,1,,4,[],https://twitter.com/Matsuri1021/status/1436473813764431877
일년감,@Oneyear110,2021-09-10T23:36:55.000Z,"일년감
@Oneyear110
·
9월 11일","운동하다가 죽운 고양이 시체봐서 진짜 소스라치게 놀래가지고 주저앉음..... 누가 죽였나봐 이렇게 대놓고 인도에 죽어있으면 ㅠㅠㅠㅜㅠㅠ 어뜩해...
1",,,,1,[],https://twitter.com/Oneyear110/status/1436473793724116994
바스테트,@E_bastet_bot,2021-09-10T23:36:50.000Z,"바스테트
@E_bastet_bot
·
9월 11일","고양이 머리도 나고, 사자머리도 나다. 암사자가 아니라, 숫사자.",,,,,[],https://twitter.com/E_bastet_bot/status/1436473773931200523
/ 데코덴 탑꾸,@wjdwogusyy,2021-09-10T23:36:47.000Z,"/ 데코덴 탑꾸
@wjdwogusyy
·
9월 11일","ㅅㅊㅇ 폴꾸 탑꾸 당근칼 고양이칼 공구 윗치폼 위치폼 양도합 다꾸 아크릴 덥즈 양도해요 엔시티 드림 127 웨이션 샤이니 더보이즈 레드벨벳 소녀시대 엑소 에스파 분철팟 nct 폴라로이드 공구 오피피 탑꾸 탑로더 데코덴 산리오 포토카드 포카 콜북 앨범깡 키치 펜트하우스 드라마 마지막 티저 쥬얼
/ 데코덴 탑꾸
@wjdwogusyy
 · 9월 10일
#RT 추첨 한분께 데코덴을 보내드립니다
이번주도 고생하셨습니다 좋은주말 보내세요

#데코덴 #탑꾸",🍑 🍑 ❣ ❤ ❗,,,,"['https://pbs.twimg.com/profile_images/1433994518722793473/23f9Ono4_mini.jpg', 'https://pbs.twimg.com/media/E-7j6NuVgAsZfC5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-7j6OgVgAUDMuO?format=jpg&name=360x360']",https://twitter.com/wjdwogusyy/status/1436473761994186755
,@tldnalswlzu,2021-09-10T23:36:03.000Z,"@tldnalswlzu
·
9월 11일","민석 이유
민석 나혼자산다
민석 예능
민석 아는형님
민석 화장품
민석 모카빵
민석 베레모
민석 고양이
민석 뱁새
민석 다이어트 #시우민 사랑해",💙 💙 💙,,,,[],https://twitter.com/tldnalswlzu/status/1436473573963550723
정화용,@xiu2190,2021-09-10T23:36:00.000Z,"정화용
@xiu2190
·
9월 11일","시우민 심포유
시우민 나혼자산다
시우민 이불밖
시우민 인생술집
시우민 청소
시우민 잠옷
시우민 예능
시우민 광고
시우민 고화질
시우민 움짤
시우민 화보
시우민 흑발
시우민 금발
시우민 고양이
시우민 햄스터
시우민 이유
시우민 팬미팅
시우민 나비소년",,,,,[],https://twitter.com/xiu2190/status/1436473564828364803
슈검정,@cleanerxiu,2021-09-10T23:35:47.000Z,"슈검정
@cleanerxiu
·
9월 11일","시우민 심포유
시우민 이불밖
시우민 나비소녀
시우민 청소
시우민 잠옷
시우민 고화질
시우민 움짤
시우민 이유
시우민 비욘드
시우민 베레모
시우민 인스타

민석 고화질
민석 움짤
민석 화보
민석 흑발
민석 고양이
민석 팬미팅
민석 귀환
민석 요정
민석 애교
민석 생일",,,,,[],https://twitter.com/cleanerxiu/status/1436473506628206596
xiu99,@HOPExiu99,2021-09-10T23:35:41.000Z,"xiu99
@HOPExiu99
·
9월 11일","시우민 고양이
시우민 인스타
시우민 이유
시우민 셀카
시우민 화보
시우민 양손동기화
시우민 귀환
시우민 나혼산
시우민 이불밖
시우민 나비소녀
시우민 슈윗타임
시우민 요정
시우민 베레모
시우민 사랑해",,,,,[],https://twitter.com/HOPExiu99/status/1436473481680461828
